record_id,source_sha256,source_sheet,source_row,source_number,company_name_raw,company_name_normalized,company_key,municipality_raw,municipality_normalized,state_raw,state_normalized,industrial_park_raw,industrial_park_normalized,address_raw,address_normalized,sector_note_raw,sector_note_normalized,source_url,research_status,commercial_state,outreach_eligible,quarantine_status,quarantine_reason,duplicate_candidate_group,qa_flags,raw_row_fingerprint
company_308e1bf60459300a869b,3cc14f924014e0be31cc4db1b9daca52850e5a07d189c4825771de9e997f7347,Directorio corredor,2,1,PLASTIC OMNIUM INERGY AUTOMOTIVE LEON,PLASTIC OMNIUM INERGY AUTOMOTIVE LEON,PLASTICOMNIUMINERGYAUTOMOTIVELEON,León,León,Guanajuato,Guanajuato,Colinas de León,Colinas de León,"Blvd. Las Joyas #4497, Colinas de León, C.P. 37668","Blvd. Las Joyas #4497, Colinas de León, C.P. 37668",Automotriz,Automotriz,https://puntoglobal.es/plastic-omnium-inergy-automotive-leon/,UNVERIFIED_SEED,RESEARCH_SEED,false,CLEAR_FOR_RESEARCH,,,,81c60e2f6db114aac7892da3641bbeeba51d58c2089c0c7eae6c21a0a9b06de8
company_d73a54119194cbac811c,3cc14f924014e0be31cc4db1b9daca52850e5a07d189c4825771de9e997f7347,Directorio corredor,3,2,MD ELEKTRONIK de México S. de R.L. de C.V.,MD ELEKTRONIK de México S. de R.L. de C.V.,MDELEKTRONIKDEMEXICOSDERLDECV,León,León,Guanajuato,Guanajuato,Parque Industrial Colinas de León,Parque Industrial Colinas de León,"Paseo de las Colinas 412, C.P. 37668","Paseo de las Colinas 412, C.P. 37668",Automotriz / electrónica,Automotriz / electrónica,https://www.md-elektronik.com/es/contacto/,UNVERIFIED_SEED,RESEARCH_SEED,false,CLEAR_FOR_RESEARCH,,,,30d826024ae88b131e84bcc7318bbe9729bbc5c2e28cbaaa16642d1f90d51d17
company_83a6a98451a556028d3e,3cc14f924014e0be31cc4db1b9daca52850e5a07d189c4825771de9e997f7347,Directorio corredor,4,3,Taigene México S.A. de C.V.,Taigene México S.A. de C.V.,TAIGENEMEXICOSADECV,León,León,Guanajuato,Guanajuato,Parque Industrial Colinas de León,Parque Industrial Colinas de León,"Circuito Paseo de las Colinas, C.P. 37668","Circuito Paseo de las Colinas, C.P. 37668",Automotriz,Automotriz,,UNVERIFIED_SEED,RESEARCH_SEED,false,CLEAR_FOR_RESEARCH,,,missing_source_url,f76767d93a791de29716d3c08f8da87962e3c4e69b643520752f6ed8f9565dad
company_e0d06f857fe5ce3c1d48,3cc14f924014e0be31cc4db1b9daca52850e5a07d189c4825771de9e997f7347,Directorio corredor,5,4,Hope Global,Hope Global,HOPEGLOBAL,León,León,Guanajuato,Guanajuato,Valle del Campestre,Valle del Campestre,"Blvd. Juan Alonso de Torres Poniente 2103A, C.P. 37150","Blvd. Juan Alonso de Torres Poniente 2103A, C.P. 37150",,,https://www.allbiz.mx/hope-global_4J,UNVERIFIED_SEED,RESEARCH_SEED,false,CLEAR_FOR_RESEARCH,,,missing_sector,561462602ebc358ea928421b02365b8393a31ef713e1d28b8b1efdc6888669a6
company_0d3d0c72a2044d921f4c,3cc14f924014e0be31cc4db1b9daca52850e5a07d189c4825771de9e997f7347,Directorio corredor,6,5,VILLASERRE INVERNADEROS,VILLASERRE INVERNADEROS,VILLASERREINVERNADEROS,Silao,Silao,Guanajuato,Guanajuato,Pozo de Gallegos,Pozo de Gallegos,"San José del Progreso S/N, C.P. 36100","San José del Progreso S/N, C.P. 36100",Agroindustrial / invernaderos,Agroindustrial / invernaderos,https://villaserre.com/contacto/,UNVERIFIED_SEED,RESEARCH_SEED,false,CLEAR_FOR_RESEARCH,,,,2c1936cb99becf22a03652df6b2e20c190d047c6ad275588d253e3044e8907b9
company_c4baf805bcdbbd41790a,3cc14f924014e0be31cc4db1b9daca52850e5a07d189c4825771de9e997f7347,Directorio corredor,7,6,Quickpipes Systems,Quickpipes Systems,QUICKPIPESSYSTEMS,Silao de la Victoria,Silao de la Victoria,Guanajuato,Guanajuato,Parque Industrial FIPASI,Parque Industrial FIPASI,"Av. Químicos #427, C.P. 36100","Av. Químicos #427, C.P. 36100",Manufactura / tuberías,Manufactura / tuberías,https://www.quickpipes.mx/contacto/,UNVERIFIED_SEED,RESEARCH_SEED,false,CLEAR_FOR_RESEARCH,,,,4f13078d57517997379b28a571b4753ecc378761c96b3727aa46dfa59cc490ec
company_9f17b4e0b5303ca8e69c,3cc14f924014e0be31cc4db1b9daca52850e5a07d189c4825771de9e997f7347,Directorio corredor,8,7,"Johnan de México, S.A. de C.V.","Johnan de México, S.A. de C.V.",JOHNANDEMEXICOSADECV,Silao,Silao,Guanajuato,Guanajuato,Parque Industrial Las Colinas,Parque Industrial Las Colinas,"Av. Eucalipto 240, C.P. 36270","Av. Eucalipto 240, C.P. 36270",Automotriz,Automotriz,https://johnanmexico.com.mx/estructuraglobal.php,UNVERIFIED_SEED,RESEARCH_SEED,false,CLEAR_FOR_RESEARCH,,,,53b617ca2d97367b149d3e026a989a35a2a7536a0552873d8071b0160369e763
company_4b9d651a9f403471c0d4,3cc14f924014e0be31cc4db1b9daca52850e5a07d189c4825771de9e997f7347,Directorio corredor,9,8,NSK Motion & Control / NSK México,NSK Motion & Control / NSK México,NSKMOTIONCONTROLNSKMEXICO,Silao de la Victoria,Silao de la Victoria,Guanajuato,Guanajuato,Puerto Interior,Puerto Interior,"Cto. Mexiamora Lote Oriente #331, C.P. 36275","Cto. Mexiamora Lote Oriente #331, C.P. 36275",Automotriz / componentes,Automotriz / componentes,,UNVERIFIED_SEED,RESEARCH_SEED,false,CLEAR_FOR_RESEARCH,,,missing_source_url,7ca5e062e64d28872211e420fd97269bf2c6cf8fe3268a401b9847774179dfc0
company_fd581f00fc301975d4ae,3cc14f924014e0be31cc4db1b9daca52850e5a07d189c4825771de9e997f7347,Directorio corredor,10,9,NPAMX,NPAMX,NPAMX,Silao,Silao,Guanajuato,Guanajuato,Puerto Interior,Puerto Interior,"Cto. San Roque Sur 112, C.P. 36275","Cto. San Roque Sur 112, C.P. 36275",Validar razón social / giro,Validar razón social / giro,,UNVERIFIED_SEED,RESEARCH_SEED,false,CLEAR_FOR_RESEARCH,,,missing_source_url,1855738e54c8cdcb3e0bf906c9c6421b4fda89dc3657f5d295f8d0ae7321ff3c
company_802548f556ec20df2ce0,3cc14f924014e0be31cc4db1b9daca52850e5a07d189c4825771de9e997f7347,Directorio corredor,11,10,BorgWarner PDS Irapuato S. de R.L. de C.V.,BorgWarner PDS Irapuato S. de R.L. de C.V.,BORGWARNERPDSIRAPUATOSDERLDECV,Irapuato,Irapuato,Guanajuato,Guanajuato,Parque Tecnoindustrial Castro del Río,Parque Tecnoindustrial Castro del Río,"Río Danubio No. 303, C.P. 36814/36815","Río Danubio No. 303, C.P. 36814/36815",Automotriz,Automotriz,https://www.dnb.com/business-directory/company-profiles.borgwarner_pds_irapuato_s_de_rl_de_cv.53c394287cc7808dc259f44be374cda6.html,UNVERIFIED_SEED,RESEARCH_SEED,false,CLEAR_FOR_RESEARCH,,,,2bc06fd742f6adb237179f3382e531e37ccf1c51d312d303bbe64fd594ab402e
