company_name_seed,municipio_seed,estado_seed,match_profepa,profepa_detalle,match_denue,denue_nombre_unidad,denue_razon_social,denue_estrato_personal,denue_municipio,denue_scian,senal_fuente_publica,nota,exclusion_anexo_a,source_url,source_date
PLASTIC OMNIUM INERGY AUTOMOTIVE LEON,León,Guanajuato,NO,"Sin coincidencia en certificados vigentes (1,245) ni emitidos (301) del PNAA a nivel nacional",SI,OP MOBILITY,PLASTIC OMNIUM AUTO INERGY MEXICO,11 a 30 personas,León,,DENUE,"Existe ademas PLASTIC OMNIUM AUTO INDUSTRIAL (251+) en Silao, planta distinta",,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20)
MD ELEKTRONIK de México S. de R.L. de C.V.,León,Guanajuato,NO,"Sin coincidencia en certificados vigentes (1,245) ni emitidos (301) del PNAA a nivel nacional",SI,MD ELEKTRONIK DE MEXICO,MD ELEKTRONIK DE MEXICO,251 y más personas,León,,DENUE,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20)
Taigene México S.A. de C.V.,León,Guanajuato,NO,"Sin coincidencia en certificados vigentes (1,245) ni emitidos (301) del PNAA a nivel nacional",SI,TAIGENE MEXICO,TAIGENE MEXICO,251 y más personas,León,,DENUE,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20)
Hope Global,León,Guanajuato,NO,"Sin coincidencia en certificados vigentes (1,245) ni emitidos (301) del PNAA a nivel nacional",NO,,,,,,SIN_MATCH,Sin registro localizable en DENUE Gto/Qro (busqueda por tokens distintivos),,,2026-08-26
VILLASERRE INVERNADEROS,Silao,Guanajuato,NO,"Sin coincidencia en certificados vigentes (1,245) ni emitidos (301) del PNAA a nivel nacional",NO,,,,,,SIN_MATCH,Sin registro localizable en DENUE Gto/Qro (busqueda por tokens distintivos),,,2026-08-26
Quickpipes Systems,Silao de la Victoria,Guanajuato,NO,"Sin coincidencia en certificados vigentes (1,245) ni emitidos (301) del PNAA a nivel nacional",SI,QUICKPIPES SYSTEMS,QUICKPIPES SYSTEMS,6 a 10 personas,Silao de la Victoria,,DENUE,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20)
"Johnan de México, S.A. de C.V.",Silao,Guanajuato,NO,"Sin coincidencia en certificados vigentes (1,245) ni emitidos (301) del PNAA a nivel nacional",SI,JOHNAN,JOHNAN DE MEXICO,101 a 250 personas,Silao de la Victoria,,DENUE,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20)
NSK Motion & Control / NSK México,Silao de la Victoria,Guanajuato,NO,"Sin coincidencia en certificados vigentes (1,245) ni emitidos (301) del PNAA a nivel nacional",SI,NSK,NSK BEARINGS MANUFACTURING MEXICO,101 a 250 personas,Silao de la Victoria,332710,DENUE,Tambien NSK WARNER MEXICO (101-250) en Silao,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20)
NPAMX,Silao,Guanajuato,NO,"Sin coincidencia en certificados vigentes (1,245) ni emitidos (301) del PNAA a nivel nacional",SI,NPAMX,NIPPON PAIN AUTOMOTIVE COATING MEXICO,101 a 250 personas,Silao de la Victoria,,DENUE,Razon social en DENUE resuelve la duda de la semilla,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20)
BorgWarner PDS Irapuato S. de R.L. de C.V.,Irapuato,Guanajuato,NO,"Sin coincidencia en certificados vigentes (1,245) ni emitidos (301) del PNAA a nivel nacional",SI,BORGWARNER PDS IRAPUATO,BORGWARNER PDS IRAPUATO,251 y más personas,Irapuato,,DENUE,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20)
Parker Trutec Mexicana,Irapuato,Guanajuato,NO,"Sin coincidencia en certificados vigentes (1,245) ni emitidos (301) del PNAA a nivel nacional",SI,PARKER TRUTEC MEXICANA,PARKER TRUTEC MEXICANA,101 a 250 personas,Irapuato,,DENUE,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20)
SAGA TEKKOHSHO MEXICANA,Irapuato,Guanajuato,NO,"Sin coincidencia en certificados vigentes (1,245) ni emitidos (301) del PNAA a nivel nacional",SI,SAGA TEKKOHSHO MEXICANA,SAGA TEKKOHSHO MEXICANA,101 a 250 personas,Irapuato,,DENUE,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20)
"OKAWA Mexicana, S.A. de C.V.",Irapuato,Guanajuato,NO,"Sin coincidencia en certificados vigentes (1,245) ni emitidos (301) del PNAA a nivel nacional",SI,OKAWA MEXICANA,OKAWA MEXICANA,101 a 250 personas,Irapuato,,DENUE,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20)
Metso Mexico - Screening Media Factory - IRA4,Irapuato,Guanajuato,NO,"Sin coincidencia en certificados vigentes (1,245) ni emitidos (301) del PNAA a nivel nacional",SI,METSO,METSO MEXICO,251 y más personas,Irapuato,435210,DENUE,"DENUE lo clasifica como comercio de maquinaria (435210), no manufactura",,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20)
Conecel Manufacturera S.A. de C.V.,Celaya,Guanajuato,NO,"Sin coincidencia en certificados vigentes (1,245) ni emitidos (301) del PNAA a nivel nacional",SI,MANUFACTURERA CONECEL,MANUFACTURERA CONECEL,101 a 250 personas,Celaya,335999,DENUE,En DENUE aparece invertido: MANUFACTURERA CONECEL,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20)
Motherson Yachiyo México Automotive S.A. de C.V.,Apaseo el Grande,Guanajuato,NO,"Sin coincidencia en certificados vigentes (1,245) ni emitidos (301) del PNAA a nivel nacional",SI,YACHIYO,MOTHERSON YACHIYO MEXICO AUTOMOTIVE,101 a 250 personas,Apaseo el Grande,,DENUE,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20)
Witzenmann Metal Products México,Apaseo el Grande,Guanajuato,NO,"Sin coincidencia en certificados vigentes (1,245) ni emitidos (301) del PNAA a nivel nacional",SI,WITZENMANN METAL PRODUCTS MEXICO,WITZENMANN METAL PRODUCTS MEXICO,101 a 250 personas,Apaseo el Grande,,DENUE,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20)
Grupo Ameristeel S.A. de C.V. AMEX,Apaseo el Grande,Guanajuato,NO,"Sin coincidencia en certificados vigentes (1,245) ni emitidos (301) del PNAA a nivel nacional",SI,GRUPO AMERISTEEL,GRUPO AMERISTEEL,251 y más personas,Querétaro,,DENUE,"DENUE ubica la unidad en municipio Queretaro; semilla dice Apaseo el Grande (Amexhe, km 19.5 carr. Qro-Celaya)",,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20)
WELDCOAT de México,Santa Rosa Jáuregui,Querétaro,NO,"Sin coincidencia en certificados vigentes (1,245) ni emitidos (301) del PNAA a nivel nacional",NO,,,,,,SIN_MATCH,Sin registro localizable en DENUE Gto/Qro (busqueda por tokens distintivos),,,2026-08-26
Juntas Especiales Querétaro,Santiago de Querétaro,Querétaro,NO,"Sin coincidencia en certificados vigentes (1,245) ni emitidos (301) del PNAA a nivel nacional",SI,JUNTAS ESPECIALES,JUNTAS ESPECIALES,51 a 100 personas,Querétaro,326290,DENUE,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20)
Avery Dennison Smartrac,Santa Rosa Jáuregui,Querétaro,NO,"Sin coincidencia en certificados vigentes (1,245) ni emitidos (301) del PNAA a nivel nacional",SI,AVERY DENNISON SMARTRAC DE MEXICO,AVERY DENNISON SMARTRAC DE MEXICO,51 a 100 personas,Querétaro,,DENUE,Grupo tiene ademas AVERY DENNISON (101-250) y CONVERTED PRODUCTS (251+) en Queretaro,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20)
Tuvanosa,Santiago de Querétaro,Querétaro,NO,"Sin coincidencia en certificados vigentes (1,245) ni emitidos (301) del PNAA a nivel nacional",SI,TUVANOSA CORREGIDORA,TUBERIAS Y VALVULAS DEL NOROESTE,51 a 100 personas,Corregidora,467111,DENUE,DENUE lo clasifica comercio (467111); razon social real: Tuberias y Valvulas del Noroeste,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip,2026-08-26 (DENUE version 2026-05-20)
Instituto de Educación y Desarrollo Richard E. Dauch IECA - AAM,Silao,Guanajuato,NO,"Sin coincidencia en certificados vigentes (1,245) ni emitidos (301) del PNAA a nivel nacional",SI,INSTITUTO DE EDUCACION Y DESARROLLO RICHARD E DAUCH,GOBIERNO DEL ESTADO DE GUANAJUATO,11 a 30 personas,Silao de la Victoria,,DENUE,"Instituto educativo, no planta industrial",,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20)
