nombre_unidad,razon_social,scian_codigo,scian_descripcion,estrato_personal,municipio,estado,colonia,telefono,www,source_url,source_date,exclusion_anexo_a
1022 IRAPUATO,BIMBO,311811,Panificación industrial,251 y más personas,Irapuato,Guanajuato,GUADALUPE,4626239108,WWW.BIMBO.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
4 EVER,,316211,Fabricación de calzado con corte de piel y cuero,101 a 250 personas,León,Guanajuato,LEÓN I,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
ABUCOMBAL,ABUCOMBAL,316211,Fabricación de calzado con corte de piel y cuero,101 a 250 personas,León,Guanajuato,SAN NICOLAS,,ABUCOMBAL.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
AGRIBRANDS PURINA MEXICO PLANTA IRAPUATO,AGRIBRANDS PURINA MEXICO,311110,Elaboración de alimentos para animales,101 a 250 personas,Irapuato,Guanajuato,CIUDAD INDUSTRIAL IRAPUATO,4626068185,WWW.NUTRIMENTOSPURINA.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
AGUA CRYSTAL DEL BAJIO,AGUA CRYSTAL DEL BAJIO,312112,Purificación y embotellado de agua,101 a 250 personas,Irapuato,Guanajuato,SANTA ELENA,,WWW.CRYSPURA.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
ALBAPESA,ALIMENTOS BALANCEADOS PENJAMO,311110,Elaboración de alimentos para animales,251 y más personas,Pénjamo,Guanajuato,PARQUE INDUSTRIAL,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
ALFA DRY,ALFAMEX DRY,316110,Curtido y acabado de cuero y piel,101 a 250 personas,León,Guanajuato,INDUSTRIAL SAN CRISPIN,,WWW.ALFADRIVE.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
ALFAMEX,BEFAMEX,316110,Curtido y acabado de cuero y piel,101 a 250 personas,León,Guanajuato,INDUSTRIAL SAN CRISPIN,,WWW.ALFAMEX.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
ALFREDO SHOES DE MEXICO,ALFREDO SHOES DE MEXICO,316211,Fabricación de calzado con corte de piel y cuero,101 a 250 personas,León,Guanajuato,INDUSTRIAL JULIAN DE OBREGÓN,,WWW.ALFREDOSHOES.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
ALIMENTOS SAN MIGUEL,ALIMENTOS SAN MIGUEL,311422,Conservación de frutas y verduras por procesos distintos a la congelación y la deshidratación,251 y más personas,San Miguel de Allende,Guanajuato,LAS ARBOLEDAS,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
ANGAR EXPORT,ANGAR EXPORT,316211,Fabricación de calzado con corte de piel y cuero,101 a 250 personas,León,Guanajuato,PEÑITAS,,WWW.ANGAREXPORT.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
ANGAR EXPORT,ANGAR EXPORT,316211,Fabricación de calzado con corte de piel y cuero,251 y más personas,León,Guanajuato,PEÑITAS,,WWW.ANGAREXPORT.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
ARROCERA DEL BAJIO,ARROCERA DEL BAJIO,311211,Beneficio del arroz,101 a 250 personas,Cortazar,Guanajuato,DEL VALLE,,WWW.ARROCERABAJIO.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
ARTECHUY,ARTE CHUY,316211,Fabricación de calzado con corte de piel y cuero,101 a 250 personas,León,Guanajuato,PILETAS I Y II,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
ASHIMORI INDUSTRIA DE MEXICO,ASHIMORI INDUSTRIA DE MEXICO,314912,Confección de productos de textiles recubiertos y de materiales sucedáneos,251 y más personas,Silao de la Victoria,Guanajuato,PUERTO INTERIOR,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
ATHLETIC FOOTWEAR,ATHLETIC FOOTWEAR,316211,Fabricación de calzado con corte de piel y cuero,101 a 250 personas,Purísima del Rincón,Guanajuato,CENTRO,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
AZTEXTIL,AZTEXTIL,313210,Fabricación de telas anchas de tejido de trama,101 a 250 personas,Yuriria,Guanajuato,EL GRANJENAL,,WWW.AZTEXTIL.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
B&G FOODS MANUFACTURING MEXICO,B&G FOODS,311411,Congelación de frutas y verduras,101 a 250 personas,Irapuato,Guanajuato,ESFUERZO OBRERO,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
B&G FOODS MANUFACTURING MEXICO,B & G FOODS MANUFACTURING MEXICO,311411,Congelación de frutas y verduras,251 y más personas,Irapuato,Guanajuato,ESFUERZO OBRERO,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
B&G FOODS MANUFACTURING MEXICO,B & G FOODS MANUFACTURING MEXICO,311411,Congelación de frutas y verduras,251 y más personas,Irapuato,Guanajuato,ESFUERZO OBRERO,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
BADER DE MÉXICO,BADER DE MEXICO,316110,Curtido y acabado de cuero y piel,251 y más personas,León,Guanajuato,UNIDAD OBRERA,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
BADER DE MEXICO SIGMA PLANTA 1,BADER DE MEXICO,316110,Curtido y acabado de cuero y piel,251 y más personas,León,Guanajuato,INDUSTRIAL DELTA,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
BAMBINO,CALZADO BAJA,316211,Fabricación de calzado con corte de piel y cuero,251 y más personas,León,Guanajuato,INDUSTRIAL JULIAN DE OBREGÓN,,WWW.GRUPOBAMBINO.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
BARCELO CALCETINES,BARCELO CALCETINES,315121,Fabricación de calcetines y medias de tejido de punto,101 a 250 personas,Valle de Santiago,Guanajuato,ZONA CENTRO,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
BEDACOM,BEDACOM,311513,Elaboración de derivados y fermentos lácteos,101 a 250 personas,Celaya,Guanajuato,CIUDAD INDUSTRIAL,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
BLANCOS PILESO,BLANCOS PILESO,314120,"Confección de cortinas, blancos y similares",251 y más personas,León,Guanajuato,PRO. NORTE ECHEVESTE,,WWW.BLANCOSPILESO.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
BLUE ARTISAN GROUP DE MEXICO,BLUE ARTISAN GROUP DE MEXICO,316991,"Fabricación de bolsos de mano, maletas y similares",101 a 250 personas,León,Guanajuato,CLUB LOYOLA,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
BODEGA DE ALFREDO SHOES,PREACABADOS DE ALDROVALVERDE,316211,Fabricación de calzado con corte de piel y cuero,101 a 250 personas,León,Guanajuato,INDUSTRIAL JULIAN DE OBREGÓN,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
BOTANIMEX,BOTANIMEX,311924,Preparación y envasado de té,101 a 250 personas,Jerécuaro,Guanajuato,LAS CALANDRIAS,,WWW.THERBAL.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
BOTAS ARANGO,GRUPO INDUSTRIAL DELEBA,316211,Fabricación de calzado con corte de piel y cuero,101 a 250 personas,León,Guanajuato,INDUSTRIAL JULIAN DE OBREGÓN,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
BOTAS BERRENDO,CALZADO CHAVITA,316211,Fabricación de calzado con corte de piel y cuero,251 y más personas,León,Guanajuato,INDUSTRIAL BRISAS DEL CAMPO,,WWW.BERRENDO.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
BOTAS CABALLO DORADO,MANUFACTURERA VARGAS,316211,Fabricación de calzado con corte de piel y cuero,101 a 250 personas,León,Guanajuato,VALLE DE LEÓN,,WWW.CABALLORADO.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
BOTAS CABORCA,BOTAS CABORCA,316211,Fabricación de calzado con corte de piel y cuero,251 y más personas,León,Guanajuato,INDUSTRIAL JULIAN DE OBREGÓN,,WWW.CABORCAGROUP.COM.MX,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
BOTAS PISTOLERO,BOTAS PISTOLERO,316211,Fabricación de calzado con corte de piel y cuero,101 a 250 personas,León,Guanajuato,MONTERREY FUTURAMA,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
BOTAS REYME,REYME EXPORT,316211,Fabricación de calzado con corte de piel y cuero,101 a 250 personas,León,Guanajuato,CENTRO BODEGUERO LAS TROJES (BODEGAS),,WWW.BOTASREYME.INFO,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
CACTUS DESERT,INDUSTRIAS JE,316211,Fabricación de calzado con corte de piel y cuero,101 a 250 personas,León,Guanajuato,PRO. COLINA REAL,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
CALSENSE,CALSENSE,315121,Fabricación de calcetines y medias de tejido de punto,101 a 250 personas,Manuel Doblado,Guanajuato,NINGUNO,,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
CALSENSE,CALSENSE,315121,Fabricación de calcetines y medias de tejido de punto,101 a 250 personas,Purísima del Rincón,Guanajuato,LOS MANANTIALES,4767432645,WWW.CALSENSE.COM,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
CALZADO ABBACONFORT DE MEXICO,CALZADO ABBACONFORT DE MEXICO,316211,Fabricación de calzado con corte de piel y cuero,251 y más personas,Manuel Doblado,Guanajuato,MIGUEL HIDALGO,4771310172,,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip,2026-08-26 (DENUE version 2026-05-20),
