no,nombre_instalacion,estado,tipo_certificado
1,"ALEN DEL NORTE, S.A. DE C.V. (PLANTA I)",Puebla,Industria Limpia
2,"REFACCIONARIA ROCA, S.A. DE C.V. (CENTRO DE SERVICIO JESUS MARIA)",Aguascalientes,Calidad Ambiental
3,"ELÉCTRICA DEL VALLE DE MÉXICO, S. DE R.L. DE C.V. (PARQUE EÓLICO LA MATA LA VENTOSA)",Oaxaca,Industria Limpia
4,"AUTOMAYA, S.A. DE C.V. (SUC. VALLADOLID)",Yucatan,Calidad Ambiental
5,"COMERCIALIZADORA DE LÁCTEOS Y DERIVADOS, S.A. DE C.V. (PLANTA LALA GUADALAJARA)",Jalisco,Industria Limpia
6,"PLASTIREY, S.A. DE C.V.",Nuevo León,Industria Limpia
7,"PROPIMEX, S. DE R.L. DE C.V. (DISTRIBUIDORA ESCUINTLA)",Chiapas,Calidad Ambiental
8,"PROPIMEX, S. DE R.L. DE C.V. (DISTRIBUIDORA VILLAFLORES)",Chiapas,Calidad Ambiental
9,"CFE DISTRIBUCIÓN, GERENCIA NOROESTE, ZONA CABORCA, SUBESTACIONES ARROYO SECO Y BIZANI",Sonora,Calidad Ambiental
10,"CFE GENERACIÓN III EPS, (CENTRAL TURBO GAS CABORCA)",Sonora,Industria Limpia
11,"CFE DISTRIBUCIÓN, GERENCIA PENINSULAR, ZONA MÉRIDA, SUBESTACIÓN KANASIN POTENCIA",Yucatan,Calidad Ambiental
12,"ADMINISTRACIÓN DEL SISTEMA PORTUARIO NACIONAL ENSENADA, S.A. DE C.V.",Baja California,Calidad Ambiental
13,"CFE DISTRIBUCIÓN, GERENCIA BAJÍO, ZONA SAN JUAN DEL RIO, SUBESTACIONES LA MANSIÓN, SAN JUAN DEL RIO ORIENTE Y TEQUISQUIAPAN II",Queretaro,Calidad Ambiental
14,"INDUSTRIAS JOHN DEERE, S. DE R.L. DE C.V. (PLANTA LOADERS)",Coahuila,Industria Limpia
