razon_social,estado,municipio,giro_actividad,tipo_certificado,vigencia,estatus_padron,source_url,source_date
"MANTENIMIENTO INTEGRAL FINSA, S.A. DE C.V. (PARQUE INDUSTRIAL FINSA QUERÉTARO I)",Queretaro,,,Calidad Ambiental,2025,CERTIFICADO_VIGENTE,https://repodatos.atdt.gob.mx/api_update/profepa/certificados_vigentes_fecha_programa_nacional_auditoria_ambiental/certificados_vigentes_pnaa.csv,2026-08-26
"HELLA AUTOMOTIVE MÉXICO, S.A. DE C.V. PLANTA PL7",Guanajuato,,,Industria Limpia,2025,CERTIFICADO_VIGENTE,https://repodatos.atdt.gob.mx/api_update/profepa/certificados_vigentes_fecha_programa_nacional_auditoria_ambiental/certificados_vigentes_pnaa.csv,2026-08-26
"ELECTRÓNICA CLARION, S.A. DE C.V.",Queretaro,,,Industria Limpia,2025,CERTIFICADO_VIGENTE,https://repodatos.atdt.gob.mx/api_update/profepa/certificados_vigentes_fecha_programa_nacional_auditoria_ambiental/certificados_vigentes_pnaa.csv,2026-08-26
"SAFRAN LANDING SYSTEMS SERVICES AMERICAS, S.A. DE C.V.",Queretaro,,,Industria Limpia,2025,CERTIFICADO_VIGENTE,https://repodatos.atdt.gob.mx/api_update/profepa/certificados_vigentes_fecha_programa_nacional_auditoria_ambiental/certificados_vigentes_pnaa.csv,2026-08-26
"EVONIK INDUSTRIES DE MÉXICO, S.A. DE C.V., CENTRO DE DISTRIBUCIÓN QUERÉTARO",Queretaro,,,Calidad Ambiental,2025,CERTIFICADO_VIGENTE,https://repodatos.atdt.gob.mx/api_update/profepa/certificados_vigentes_fecha_programa_nacional_auditoria_ambiental/certificados_vigentes_pnaa.csv,2026-08-26
"DANA DE MÉXICO CORPORACIÓN, S. DE R. L. DE C.V. (DIVISIÓN ENGRANES CÓNICOS)",Queretaro,,,Industria Limpia,2026,CERTIFICADO_VIGENTE,https://repodatos.atdt.gob.mx/api_update/profepa/certificados_vigentes_fecha_programa_nacional_auditoria_ambiental/certificados_vigentes_pnaa.csv,2026-08-26
"CFE DISTRIBUCIÓN, GERENCIA BAJÍO, ZONA SALVATIERRA, SUBESTACIÓN SENDAI",Guanajuato,,,Calidad Ambiental,2025,CERTIFICADO_VIGENTE,https://repodatos.atdt.gob.mx/api_update/profepa/certificados_vigentes_fecha_programa_nacional_auditoria_ambiental/certificados_vigentes_pnaa.csv,2026-08-26
"INTERNATIONAL PAPER MÉXICO COMPANY, S. DE R.L. DE C.V. - PLANTA SAN JOSÉ ITURBIDE",Guanajuato,,,Industria Limpia,2026,CERTIFICADO_VIGENTE,https://repodatos.atdt.gob.mx/api_update/profepa/certificados_vigentes_fecha_programa_nacional_auditoria_ambiental/certificados_vigentes_pnaa.csv,2026-08-26
"ILUMINACIÓN ESPECIALIZADA DE OCCIDENTE, S.A. DE C.V.",Queretaro,,,Industria Limpia,2025,CERTIFICADO_VIGENTE,https://repodatos.atdt.gob.mx/api_update/profepa/certificados_vigentes_fecha_programa_nacional_auditoria_ambiental/certificados_vigentes_pnaa.csv,2026-08-26
"FÁBRICA NACIONAL DE LIJA, S.A. DE C.V. (PLANTA QUERÉTARO)",Queretaro,,,Industria Limpia,2025,CERTIFICADO_VIGENTE,https://repodatos.atdt.gob.mx/api_update/profepa/certificados_vigentes_fecha_programa_nacional_auditoria_ambiental/certificados_vigentes_pnaa.csv,2026-08-26
"CONSORCIO INDUSTRIAL MEXICANO DE AUTOPARTES, S. DE R.L. DE C.V., PLANTA SILAO",Guanajuato,,,Industria Limpia,2026,CERTIFICADO_VIGENTE,https://repodatos.atdt.gob.mx/api_update/profepa/certificados_vigentes_fecha_programa_nacional_auditoria_ambiental/certificados_vigentes_pnaa.csv,2026-08-26
"MANTENIMIENTO INTEGRAL FINSA, S.A. DE C.V. (PARQUE INDUSTRIAL FINSA QUERETARO II)",Queretaro,,,Calidad Ambiental,2026,CERTIFICADO_VIGENTE,https://repodatos.atdt.gob.mx/api_update/profepa/certificados_vigentes_fecha_programa_nacional_auditoria_ambiental/certificados_vigentes_pnaa.csv,2026-08-26
"KAESER COMPRESORES DE MÉXICO, S. DE R.L. DE C.V.",Queretaro,,,Calidad Ambiental,2025,CERTIFICADO_VIGENTE,https://repodatos.atdt.gob.mx/api_update/profepa/certificados_vigentes_fecha_programa_nacional_auditoria_ambiental/certificados_vigentes_pnaa.csv,2026-08-26
"FLEX N GATE MÉXICO, S. DE R.L. DE C.V.",Guanajuato,,,Industria Limpia,2026,CERTIFICADO_VIGENTE,https://repodatos.atdt.gob.mx/api_update/profepa/certificados_vigentes_fecha_programa_nacional_auditoria_ambiental/certificados_vigentes_pnaa.csv,2026-08-26
