razon_social,estado,municipio,giro_actividad,tipo_certificado,vigencia,estatus_padron,source_url,source_date
"CASA CUERVO, S.A. DE C.V. PLANTA CAMICHINES",Jalisco,,,Industria Limpia,2025,CERTIFICADO_VIGENTE,https://repodatos.atdt.gob.mx/api_update/profepa/certificados_vigentes_fecha_programa_nacional_auditoria_ambiental/certificados_vigentes_pnaa.csv,2026-08-26
"TEQUILA SIETE LEGUAS, S.A. DE C.V. (PLANTA LA VENCEDORA)",Jalisco,,,Industria Limpia,2025,CERTIFICADO_VIGENTE,https://repodatos.atdt.gob.mx/api_update/profepa/certificados_vigentes_fecha_programa_nacional_auditoria_ambiental/certificados_vigentes_pnaa.csv,2026-08-26
"INGREDION MÉXICO, S.A. DE C.V. PLANTA PARAÍSO",Jalisco,,,Industria Limpia,2025,CERTIFICADO_VIGENTE,https://repodatos.atdt.gob.mx/api_update/profepa/certificados_vigentes_fecha_programa_nacional_auditoria_ambiental/certificados_vigentes_pnaa.csv,2026-08-26
"BIMBO, S.A. DE C.V. PLANTA BIMBO OCCIDENTE",Jalisco,,,Industria Limpia,2025,CERTIFICADO_VIGENTE,https://repodatos.atdt.gob.mx/api_update/profepa/certificados_vigentes_fecha_programa_nacional_auditoria_ambiental/certificados_vigentes_pnaa.csv,2026-08-26
"CFE GENERACIÓN II EPS, (CENTRAL HIDROELÉCTRICA COLIMILLA)",Jalisco,,,Industria Limpia,2025,CERTIFICADO_VIGENTE,https://repodatos.atdt.gob.mx/api_update/profepa/certificados_vigentes_fecha_programa_nacional_auditoria_ambiental/certificados_vigentes_pnaa.csv,2026-08-26
"CFE GENERACIÓN II EPS, (CENTRAL HIDROELÉCTRICA PUENTE GRANDE)",Jalisco,,,Industria Limpia,2025,CERTIFICADO_VIGENTE,https://repodatos.atdt.gob.mx/api_update/profepa/certificados_vigentes_fecha_programa_nacional_auditoria_ambiental/certificados_vigentes_pnaa.csv,2026-08-26
"CFE GENERACIÓN II EPS, (CENTRAL HIDROELÉCTRICA LUIS M. ROJAS)",Jalisco,,,Industria Limpia,2025,CERTIFICADO_VIGENTE,https://repodatos.atdt.gob.mx/api_update/profepa/certificados_vigentes_fecha_programa_nacional_auditoria_ambiental/certificados_vigentes_pnaa.csv,2026-08-26
"CFE GENERACIÓN II EPS, CENTRAL HIDROELÉCTRICA GRAL. MANUEL M. DIÉGUEZ",Jalisco,,,Industria Limpia,2025,CERTIFICADO_VIGENTE,https://repodatos.atdt.gob.mx/api_update/profepa/certificados_vigentes_fecha_programa_nacional_auditoria_ambiental/certificados_vigentes_pnaa.csv,2026-08-26
"SÚRFAX, S.A. DE C.V.",Jalisco,,,Industria Limpia,2025,CERTIFICADO_VIGENTE,https://repodatos.atdt.gob.mx/api_update/profepa/certificados_vigentes_fecha_programa_nacional_auditoria_ambiental/certificados_vigentes_pnaa.csv,2026-08-26
"MULTI-COLOR LABEL CORPORATION-MÉXICO, S.A. DE C.V.",Jalisco,,,Industria Limpia,2025,CERTIFICADO_VIGENTE,https://repodatos.atdt.gob.mx/api_update/profepa/certificados_vigentes_fecha_programa_nacional_auditoria_ambiental/certificados_vigentes_pnaa.csv,2026-08-26
"PRAXAIR MÉXICO, S. DE R.L. DE C.V. (COMPLEJO GUADALAJARA)",Jalisco,,,Industria Limpia,2025,CERTIFICADO_VIGENTE,https://repodatos.atdt.gob.mx/api_update/profepa/certificados_vigentes_fecha_programa_nacional_auditoria_ambiental/certificados_vigentes_pnaa.csv,2026-08-26
"FLEXTRONICS TECHNOLOGIES MÉXICO, S. DE R.L. DE C.V.",Jalisco,,,Industria Limpia,2025,CERTIFICADO_VIGENTE,https://repodatos.atdt.gob.mx/api_update/profepa/certificados_vigentes_fecha_programa_nacional_auditoria_ambiental/certificados_vigentes_pnaa.csv,2026-08-26
"CONTINENTAL AUTOMOTIVE GUADALAJARA MÉXICO, S. DE R.L. DE C.V. PLANTA PERIFÉRICO",Jalisco,,,Industria Limpia,2025,CERTIFICADO_VIGENTE,https://repodatos.atdt.gob.mx/api_update/profepa/certificados_vigentes_fecha_programa_nacional_auditoria_ambiental/certificados_vigentes_pnaa.csv,2026-08-26
"HONDA DE MÉXICO, S.A. DE C.V. (PLANTA MOTOCICLETAS)",Jalisco,,,Industria Limpia,2025,CERTIFICADO_VIGENTE,https://repodatos.atdt.gob.mx/api_update/profepa/certificados_vigentes_fecha_programa_nacional_auditoria_ambiental/certificados_vigentes_pnaa.csv,2026-08-26
"FÁBRICA DE PAPEL SAN FRANCISCO, S.A. DE C.V. (PLANTA CONVERSIÓN GUADALAJARA)",Jalisco,,,Industria Limpia,2026,CERTIFICADO_VIGENTE,https://repodatos.atdt.gob.mx/api_update/profepa/certificados_vigentes_fecha_programa_nacional_auditoria_ambiental/certificados_vigentes_pnaa.csv,2026-08-26
"SERVICIOS REFRESQUEROS DEL GOLFO Y BAJÍO, S. DE R.L. DE C.V. PLANTA MORELIA",Michoacan,,,Industria Limpia,2026,CERTIFICADO_VIGENTE,https://repodatos.atdt.gob.mx/api_update/profepa/certificados_vigentes_fecha_programa_nacional_auditoria_ambiental/certificados_vigentes_pnaa.csv,2026-08-26
"CFE DISTRIBUCIÓN, GERENCIA JALISCO, ZONA METROPOLITANA HIDALGO, SUBESTACIÓN MOJONERA",Jalisco,,,Calidad Ambiental,2025,CERTIFICADO_VIGENTE,https://repodatos.atdt.gob.mx/api_update/profepa/certificados_vigentes_fecha_programa_nacional_auditoria_ambiental/certificados_vigentes_pnaa.csv,2026-08-26
"CFE DISTRIBUCIÓN, GERENCIA JALISCO, ZONA METROPOLITANA HIDALGO, SUBESTACIÓN PINAR",Jalisco,,,Calidad Ambiental,2025,CERTIFICADO_VIGENTE,https://repodatos.atdt.gob.mx/api_update/profepa/certificados_vigentes_fecha_programa_nacional_auditoria_ambiental/certificados_vigentes_pnaa.csv,2026-08-26
"CFE DISTRIBUCIÓN, GERENCIA JALISCO, ZONA METROPOLITANA HIDALGO, SUBESTACIÓN ZOQUIPAN",Jalisco,,,Calidad Ambiental,2025,CERTIFICADO_VIGENTE,https://repodatos.atdt.gob.mx/api_update/profepa/certificados_vigentes_fecha_programa_nacional_auditoria_ambiental/certificados_vigentes_pnaa.csv,2026-08-26
