no,nombre_instalacion,estado,anio_vigencia,tipo_certificado
1,"PETRÓLEOS MEXICANOS, HOSPITAL GENERAL ÉBANO",San Luis Potosi,2025,Calidad Ambiental
2,"CASA CUERVO, S.A. DE C.V. PLANTA CAMICHINES",Jalisco,2025,Industria Limpia
3,"CFE DISTRIBUCIÓN, GERENCIA GOLFO NORTE, ZONA PIEDRAS NEGRAS, SUBESTACIÓN FUENTE",Coahuila,2025,Calidad Ambiental
4,"CFE DISTRIBUCIÓN, GERENCIA GOLFO NORTE, ZONA PIEDRAS NEGRAS, SUBESTACIÓN AMISTAD",Coahuila,2025,Calidad Ambiental
5,"MANTENIMIENTO INTEGRAL FINSA, S.A. DE C.V. (PARQUE INDUSTRIAL FINSA QUERÉTARO I)",Queretaro,2025,Calidad Ambiental
6,"TEQUILA SIETE LEGUAS, S.A. DE C.V. (PLANTA LA VENCEDORA)",Jalisco,2025,Industria Limpia
7,"LEAR CORPORATION MÉXICO, S. DE R.L. DE C.V., PLANTA TLÁHUAC",Cd. de México / Zmvm,2025,Industria Limpia
8,"CORPORACIÓN MULTIMODAL, S.A. DE C.V.",Colima,2025,Calidad Ambiental
9,"GRANELERA MANZANILLO, S.A. DE C.V.",Colima,2025,Calidad Ambiental
10,"PROMOTORA TURÍSTICA COSTA DE ORO, S.A. DE C.V.(GRAND FIESTA AMERICANA VERACRUZ)",Veracruz,2025,Calidad Ambiental Turistica
11,"HELLA AUTOMOTIVE MÉXICO, S.A. DE C.V. PLANTA PL7",Guanajuato,2025,Industria Limpia
12,"CFE DISTRIBUCIÓN, GERENCIA ORIENTE, ZONA TEZIUTLÁN, SUBESTACIÓN MARGARITAS",Puebla,2025,Calidad Ambiental
13,"INGREDION MÉXICO, S.A. DE C.V. PLANTA PARAÍSO",Jalisco,2025,Industria Limpia
14,"ENVASES UNIVERSALES DE MÉXICO, S.A.P.I. DE C.V. (PLANTA 1006, TEPOTZOTLÁN)",México,2025,Industria Limpia
15,EMBOTELLADORA MEXICANA DE BEBIDAS REFRESCANTES S. DE R.L. DE C.V. (PLANTA LOS REYES),Cd. de México / Zmvm,2025,Industria Limpia
16,"ALAMBRADOS Y CIRCUITOS ELÉCTRICOS, S. DE R.L. DE C.V. (PLANTA X)",Chihuahua,2025,Industria Limpia
17,"SDS DE MÉXICO, S. DE R.L DE C.V.",Baja California,2025,Industria Limpia
18,"ENVASES UNIVERSALES DE MÉXICO, S.A.P.I. DE C.V. PLANTA TORREÓN",Coahuila,2025,Industria Limpia
19,"CFE DISTRIBUCIÓN, GERENCIA BAJA CALIFORNIA, ZONA TIJUANA SUBESTACIÓN ELÉCTRICA ENCINAL",Baja California,2025,Calidad Ambiental
20,"CFE DISTRIBUCIÓN, GERENCIA BAJA CALIFORNIA, ZONA TIJUANA, SUBESTACIÓN TECATE UNO",Baja California,2025,Calidad Ambiental
21,"CFE DISTRIBUCIÓN, GERENCIA BAJA CALIFORNIA, ZONA TIJUANA (SUBESTACIÓN ELÉCTRICA VALLE DE LAS PALMAS)",Baja California,2025,Calidad Ambiental
22,"CFE DISTRIBUCIÓN, GERENCIA ORIENTE, ZONA TEZIUTLÁN, SUBESTACIONES HUMEROS III Y TEZIUTLÁN II",Puebla,2025,Calidad Ambiental
23,"EVM ENERGIA DEL VALLE DE MÉXICO, S.A.P.I. DE C.V., (EVM I)",México,2025,Industria Limpia
24,"AUTOS JUVENTUD DE CHIHUAHUA, S.A. DE C.V.",Chihuahua,2025,Calidad Ambiental
25,"CFE DISTRIBUCIÓN, GERENCIA ORIENTE, ZONA PAPALOAPAN, SUBESTACIONES EL JICARO, GRANJA TRES, RODRÍGUEZ CLARA, TLACOTALPAN Y PLAYA VICENTE",Veracruz,2025,Calidad Ambiental
26,"CFE DISTRIBUCIÓN, GERENCIA ORIENTE, ZONA TEZIUTLÁN, SUBESTACIONES SANTA SOFIA, VEGA DE ALATORRE, TLAPACOYAN Y ALTOTONGA",Veracruz,2025,Calidad Ambiental
27,"CFE DISTRIBUCIÓN, GERENCIA ORIENTE, ZONA CÓRDOBA, SUBESTACIÓN OMEALCA",Veracruz,2025,Calidad Ambiental
28,"CFE DISTRIBUCIÓN, GERENCIA ORIENTE, ZONA COATZACOALCOS, SUBESTACIONES UXPANAPA TRES, NUEVO MORELOS, EMILIANO ZAPATA, CHINAMECA DOS, NANCHITAL DOS Y PAJARITOS DOS",Veracruz,2025,Calidad Ambiental
29,"CFE DISTRIBUCIÓN, GERENCIA ORIENTE, ZONA LOS TUXTLAS, SUBESTACIONES CHILAPAN AMPLIACIÓN Y HUEYAPAN DE OCAMPO",Veracruz,2025,Calidad Ambiental
30,"CFE DISTRIBUCIÓN, GERENCIA ORIENTE, ZONA POZA RICA, SUBESTACIONES LA BARRA, IXHUATLAN, AEROPUERTO Y POZA RICA TRES",Veracruz,2025,Calidad Ambiental
31,"ROSAN INTERNACIONAL, S.C. DE R.L. DE C.V",Tlaxcala,2025,Industria Limpia
