rank,empresa,razon_social,municipio,estado,scian,actividad,estrato_personal,parque_industrial,certificado_profepa,senales_publicas,score,source_urls,source_date
1,STEERINGMEX,STEERINGMEX,El Marqués,Querétaro,336330,Fabricación de partes de sistemas de dirección y de suspensión para vehículos automotrices,251 y más personas,FINSA,Industria Limpia / CERTIFICADO_VIGENTE,"Certificado PROFEPA Industria Limpia (certificado_vigente, vigencia 2026); SCIAN intensivo en energía (336330); Parque: FINSA; DENUE 251+ empleados (2026-05)",7,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip; https://repodatos.atdt.gob.mx/api_update/profepa/certificados_vigentes_fecha_programa_nacional_auditoria_ambiental/certificados_vigentes_pnaa.csv,2026-08-26
2,VENTRAMEX,VENTRAMEX,El Marqués,Querétaro,336340,Fabricación de partes de sistemas de frenos para vehículos automotrices,251 y más personas,Bernardo Quintana,Industria Limpia / CERTIFICADO_VIGENTE,"Certificado PROFEPA Industria Limpia (certificado_vigente, vigencia 2026); SCIAN intensivo en energía (336340); Parque: Bernardo Quintana; DENUE 251+ empleados (2026-05)",7,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip; https://repodatos.atdt.gob.mx/api_update/profepa/certificados_vigentes_fecha_programa_nacional_auditoria_ambiental/certificados_vigentes_pnaa.csv,2026-08-26
3,CONSORCIO INDUSTRIAL MEXICANO DE AUTOPARTES,CONSORCIO INDUSTRIAL MEXICANO DE AUTOPARTES,Silao de la Victoria,Guanajuato,336360,Fabricación de asientos y accesorios interiores para vehículos automotores,251 y más personas,Las Colinas Silao,Industria Limpia / CERTIFICADO_VIGENTE,"Certificado PROFEPA Industria Limpia (certificado_vigente, vigencia 2026); SCIAN intensivo en energía (336360); Parque: Las Colinas Silao; DENUE 251+ empleados (2026-05)",7,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip; https://repodatos.atdt.gob.mx/api_update/profepa/certificados_vigentes_fecha_programa_nacional_auditoria_ambiental/certificados_vigentes_pnaa.csv,2026-08-26
4,PROCTER & GAMBLE MARISCALA,PROCTER & GAMBLE MANUFACTURING MEXICO,Apaseo el Grande,Guanajuato,325620,"Fabricación de cosméticos, perfumes y otras preparaciones de tocador",251 y más personas,,Industria Limpia / CERTIFICADO_VIGENTE,"Certificado PROFEPA Industria Limpia (certificado_vigente, vigencia 2026); SCIAN intensivo en energía (325620); DENUE 251+ empleados (2026-05)",6,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip; https://repodatos.atdt.gob.mx/api_update/profepa/certificados_vigentes_fecha_programa_nacional_auditoria_ambiental/certificados_vigentes_pnaa.csv,2026-08-26
5,AUTOLIV,AUTOLIV STEERING WHEELS MEXICO,El Marqués,Querétaro,336390,Fabricación de otras partes para vehículos automotrices,251 y más personas,,Industria Limpia / CERTIFICADO_VIGENTE,"Certificado PROFEPA Industria Limpia (certificado_vigente, vigencia 2026); SCIAN intensivo en energía (336390); DENUE 251+ empleados (2026-05)",6,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip; https://repodatos.atdt.gob.mx/api_update/profepa/certificados_vigentes_fecha_programa_nacional_auditoria_ambiental/certificados_vigentes_pnaa.csv,2026-08-26
6,LEAR CORPORATION PLANTA LEON,LEAR MEXICAN TRIM OPERATIONS,León,Guanajuato,336360,Fabricación de asientos y accesorios interiores para vehículos automotores,251 y más personas,,Industria Limpia / CERTIFICADO_VIGENTE,"Certificado PROFEPA Industria Limpia (certificado_vigente, vigencia 2027); SCIAN intensivo en energía (336360); DENUE 251+ empleados (2026-05)",6,https://www.inegi.org.mx/contenidos/masiva/denue/denue_11_csv.zip; https://repodatos.atdt.gob.mx/api_update/profepa/certificados_vigentes_fecha_programa_nacional_auditoria_ambiental/certificados_vigentes_pnaa.csv,2026-08-26
7,KIRCHHOFF AUTOMOTIVE MEXICO,KIRCHHOFF AUTOMOTIVE MEXICO,Querétaro,Querétaro,336370,Fabricación de piezas metálicas troqueladas para vehículos automotrices,251 y más personas,,Industria Limpia / CERTIFICADO_VIGENTE,"Certificado PROFEPA Industria Limpia (certificado_vigente, vigencia 2027); SCIAN intensivo en energía (336370); DENUE 251+ empleados (2026-05)",6,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip; https://repodatos.atdt.gob.mx/api_update/profepa/certificados_vigentes_fecha_programa_nacional_auditoria_ambiental/certificados_vigentes_pnaa.csv,2026-08-26
8,TROQUELADORA BATESVILLE DE MEXICO,TROQUELADORA BATESVILLE DE MEXICO,Querétaro,Querétaro,332110,Fabricación de productos metálicos forjados y troquelados,251 y más personas,Parque Industrial Querétaro,Industria Limpia / CERTIFICADO_VIGENTE,"Certificado PROFEPA Industria Limpia (certificado_vigente, vigencia 2026); Parque: Parque Industrial Querétaro; DENUE 251+ empleados (2026-05)",5,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip; https://repodatos.atdt.gob.mx/api_update/profepa/certificados_vigentes_fecha_programa_nacional_auditoria_ambiental/certificados_vigentes_pnaa.csv,2026-08-26
9,EATON,BUSSMANN,Querétaro,Querétaro,335999,Fabricación de otros productos eléctricos,251 y más personas,,Industria Limpia / CERTIFICADO_VIGENTE,"Certificado PROFEPA Industria Limpia (certificado_vigente, vigencia 2026); DENUE 251+ empleados (2026-05)",4,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip; https://repodatos.atdt.gob.mx/api_update/profepa/certificados_vigentes_fecha_programa_nacional_auditoria_ambiental/certificados_vigentes_pnaa.csv,2026-08-26
10,INDUSTRIA ENVASADORA DE QUERETARO,INDUSTRIA ENVASADORA DE QUERETARO,Querétaro,Querétaro,312111,Elaboración de refrescos y otras bebidas no alcohólicas,251 y más personas,,Industria Limpia / CERTIFICADO_VIGENTE,"Certificado PROFEPA Industria Limpia (certificado_vigente, vigencia 2026); DENUE 251+ empleados (2026-05)",4,https://www.inegi.org.mx/contenidos/masiva/denue/denue_22_csv.zip; https://repodatos.atdt.gob.mx/api_update/profepa/certificados_vigentes_fecha_programa_nacional_auditoria_ambiental/certificados_vigentes_pnaa.csv,2026-08-26
